ID,发布标题,描述,主分类,子分类,三级分类,商品名称,商品进货价,商品出货价,库存数量,图片
KH096,阿玛尼红管402,,化妆品,口红,Armani阿玛尼,阿玛尼红管402,132,139 ,999,\pic\KH001
KH097,阿玛尼红管405,,化妆品,口红,Armani阿玛尼,阿玛尼红管405,165,173 ,999,\pic\KH001
KH098,阿玛尼红管400G,,化妆品,口红,Armani阿玛尼,阿玛尼红管400G,134,141 ,999,\pic\KH001
KH099,阿玛尼红管405G,,化妆品,口红,Armani阿玛尼,阿玛尼红管405G,165,173 ,999,\pic\KH001
KH100,阿玛尼红管201,,化妆品,口红,Armani阿玛尼,阿玛尼红管201,140,147 ,999,\pic\KH001
KH101,阿玛尼红管205,,化妆品,口红,Armani阿玛尼,阿玛尼红管205,138,145 ,999,\pic\KH001
KH102,阿玛尼红管206,,化妆品,口红,Armani阿玛尼,阿玛尼红管206,150,158 ,999,\pic\KH001
KH103,阿玛尼红管415,,化妆品,口红,Armani阿玛尼,阿玛尼红管415,160,168 ,999,\pic\KH001
KH104,阿玛尼红管524,,化妆品,口红,Armani阿玛尼,阿玛尼红管524,183,192 ,999,\pic\KH001
KH105,阿玛尼黑管500,,化妆品,口红,Armani阿玛尼,阿玛尼黑管500,107,112 ,999,\pic\KH001
KH106,阿玛尼小胖丁506,,化妆品,口红,Armani阿玛尼,阿玛尼小胖丁506,150,158 ,999,\pic\KH001
KH107,tf80黑管口红唇膏,烈焰幻魅唇膏3g ,化妆品,口红,TomFord TF汤姆福特,tf80黑管口红唇膏,172,181 ,999,\pic\KH001
KH108,tf16黑管斯嘉丽红,烈焰幻魅唇膏16 3g,化妆品,口红,TomFord TF汤姆福特,tf16黑管斯嘉丽红,169,177 ,999,\pic\KH001
KH109,tomford迷你口红,1xmaurice口红,化妆品,口红,TomFord TF汤姆福特,tomford迷你口红,150,158 ,999,\pic\KH001
KH110,tomford口红08,velvetcherry,化妆品,口红,TomFord TF汤姆福特,tomford口红08,185,194 ,999,\pic\KH001
KH111,tomford黑管16,,化妆品,口红,TomFord TF汤姆福特,tomford黑管16,185,194 ,999,\pic\KH001
KH112,tomford白管05,solaraffair口红,化妆品,口红,TomFord TF汤姆福特,tomford白管05,60,63 ,999,\pic\KH001
KH113,tomford金管16,,化妆品,口红,TomFord TF汤姆福特,tomford金管16,176,185 ,999,\pic\KH001
KH114,tf限量红管lo01,,化妆品,口红,TomFord TF汤姆福特,tf限量红管lo01,180,189 ,999,\pic\KH001
KH115,tf27黑细管,,化妆品,口红,TomFord TF汤姆福特,tf27黑细管,208,218 ,999,\pic\KH001
KH116,tf黑管508,,化妆品,口红,TomFord TF汤姆福特,tf黑管508,179,188 ,999,\pic\KH001
KH117,tf黑管507,,化妆品,口红,TomFord TF汤姆福特,tf黑管507,179,188 ,999,\pic\KH001
KH118,tf黑管303,,化妆品,口红,TomFord TF汤姆福特,tf黑管303,169,177 ,999,\pic\KH001
KH119,tf黑管38,哑光口红nightporter,化妆品,口红,TomFord TF汤姆福特,tf黑管38,185,194 ,999,\pic\KH001
KH120,tf黑细管27,,化妆品,口红,TomFord TF汤姆福特,tf黑细管27,270,284 ,999,\pic\KH001
KH121,tf黑管06,,化妆品,口红,TomFord TF汤姆福特,tf黑管06,150,158 ,999,\pic\KH001
KH122,tf黑细管31,,化妆品,口红,TomFord TF汤姆福特,tf黑细管31,220,231 ,999,\pic\KH001
KH123,tf黑细管29,,化妆品,口红,TomFord TF汤姆福特,tf黑细管29,209,219 ,999,\pic\KH001
KH124,tf黑细管25,,化妆品,口红,TomFord TF汤姆福特,tf黑细管25,209,219 ,999,\pic\KH001
KH125,tf黑管511,,化妆品,口红,TomFord TF汤姆福特,tf黑管511,237,249 ,999,\pic\KH001
KH126,tf黑管02,,化妆品,口红,TomFord TF汤姆福特,tf黑管02,230,242 ,999,\pic\KH001
KH127,tf黑管01,,化妆品,口红,TomFord TF汤姆福特,tf黑管01,222,233 ,999,\pic\KH001
KH128,tf黑管80,,化妆品,口红,TomFord TF汤姆福特,tf黑管80,171,180 ,999,\pic\KH001
KH130,tf ff02黑管,,化妆品,口红,TomFord TF汤姆福特,tf ff02黑管,155,163 ,999,\pic\KH001
KH131,tf白细管03,韩免,化妆品,口红,TomFord TF汤姆福特,tf白细管03,185,194 ,999,\pic\KH001
KH132,tf80,,化妆品,口红,TomFord TF汤姆福特,tf80,171,180 ,999,\pic\KH001
KH134,tf15,,化妆品,口红,TomFord TF汤姆福特,tf15,160,168 ,999,\pic\KH001
KH135,tf08,特别版,化妆品,口红,TomFord TF汤姆福特,tf08,173,182 ,999,\pic\KH001
KH136,tf细管27,,化妆品,口红,TomFord TF汤姆福特,tf细管27,200,210 ,999,\pic\KH001
KH137,tf金管16,,化妆品,口红,TomFord TF汤姆福特,tf金管16,180,189 ,999,\pic\KH001
KH138,tf粉管03,,化妆品,口红,TomFord TF汤姆福特,tf粉管03,305,320 ,999,\pic\KH001
KH139,tflc01红管,,化妆品,口红,TomFord TF汤姆福特,tflc01红管,167,175 ,999,\pic\KH001
KH140,tf金箔唇膏z09,,化妆品,口红,TomFord TF汤姆福特,tf金箔唇膏z09,275,289 ,999,\pic\KH001
KH141,tf07白细管,,化妆品,口红,TomFord TF汤姆福特,tf07白细管,198,208 ,999,\pic\KH001
KH142,tf白细管03,,化妆品,口红,TomFord TF汤姆福特,tf白细管03,185,194 ,999,\pic\KH001
KH143,tf迷你34白管,,化妆品,口红,TomFord TF汤姆福特,tf迷你34白管,186,195 ,999,\pic\KH001
KH144,tf迷你22白管,,化妆品,口红,TomFord TF汤姆福特,tf迷你22白管,174,183 ,999,\pic\KH001
KH145,tf白管04,,化妆品,口红,TomFord TF汤姆福特,tf白管04,220,231 ,999,\pic\KH001
KH146,tf银管05,,化妆品,口红,TomFord TF汤姆福特,tf银管05,175,184 ,999,\pic\KH001
KH147,tf唇膏粗管80号,,化妆品,口红,TomFord TF汤姆福特,tf唇膏粗管80号,172,181 ,999,\pic\KH001
KH148,tf唇膏粗管16号,,化妆品,口红,TomFord TF汤姆福特,tf唇膏粗管16号,172,181 ,999,\pic\KH001
KH149,tf唇膏粗管15号,,化妆品,口红,TomFord TF汤姆福特,tf唇膏粗管15号,172,181 ,999,\pic\KH001
KH150,tf白管唇釉06,,化妆品,口红,TomFord TF汤姆福特,tf白管唇釉06,160,168 ,999,\pic\KH001
KH151,tf白管唇釉05,,化妆品,口红,TomFord TF汤姆福特,tf白管唇釉05,160,168 ,999,\pic\KH001
KH152,tf白管唇釉04,,化妆品,口红,TomFord TF汤姆福特,tf白管唇釉04,160,168 ,999,\pic\KH001
KH153,tf白管唇釉03,,化妆品,口红,TomFord TF汤姆福特,tf白管唇釉03,160,168 ,999,\pic\KH001
KH154,mac口红923号,3g,化妆品,口红,MAC,mac口红923号,80,84 ,999,\pic\KH001
KH155,macmini,圣诞口红中样三件套,化妆品,口红,MAC,macmini,140,147 ,999,\pic\KH001
KH156,mac口红612,,化妆品,口红,MAC,mac口红612,81,85 ,999,\pic\KH001
KH157,mac108口红,,化妆品,口红,MAC,mac108口红,90,95 ,999,\pic\KH001
KH158,mac粉金限定口红,rubywoo707,化妆品,口红,MAC,mac粉金限定口红,110,116 ,999,\pic\KH001
KH159,mac粉金限定口红,marrakesh646,化妆品,口红,MAC,mac粉金限定口红,110,116 ,999,\pic\KH001
KH160,mac粉金限定口红,ladybug510,化妆品,口红,MAC,mac粉金限定口红,110,116 ,999,\pic\KH001
KH161,mac粉金限定口红,chili602,化妆品,口红,MAC,mac粉金限定口红,110,116 ,999,\pic\KH001
KH162,mac樱花限量口红,framboisem01,化妆品,口红,MAC,mac樱花限量口红,58,61 ,999,\pic\KH001
KH163,mac口红102号,韩免,化妆品,口红,MAC,mac口红102号,64,67 ,999,\pic\KH001
KH164,mac2020年圣诞口红,三件套正装chililadydangervelvetteddy,化妆品,口红,MAC,mac2020年圣诞口红,190,200 ,999,\pic\KH001
KH165,mac口红316,,化妆品,口红,MAC,mac口红316,86,90 ,999,\pic\KH001
KH166,mac520口红,,化妆品,口红,MAC,mac520口红,61,64 ,999,\pic\KH001
KH167,mac602号哑光口红唇膏,子弹头小辣椒chili哑光砖红色秀智色小辣椒,化妆品,口红,MAC,mac602号哑光口红唇膏,87,91 ,999,\pic\KH001
KH168,mac923口红唇膏,macstaycurious玫瑰乌龙色,化妆品,口红,MAC,mac923口红唇膏,81,85 ,999,\pic\KH001
KH169,macchili316,泫雅色枫叶砖红m色口红唇膏,化妆品,口红,MAC,macchili316,86,90 ,999,\pic\KH001
KH170,macstaycurious923,玫瑰乌龙色口红唇膏,化妆品,口红,MAC,macstaycurious923,81,85 ,999,\pic\KH001
KH171,mac口红棒棒糖106号,,化妆品,口红,MAC,mac口红棒棒糖106号,95,100 ,999,\pic\KH001
KH172,mac口红707,,化妆品,口红,MAC,mac口红707,86,90 ,999,\pic\KH001
KH173,mac故宫口红cockney,,化妆品,口红,MAC,mac故宫口红cockney,80,84 ,999,\pic\KH001
KH174,mac802口红,,化妆品,口红,MAC,mac802口红,73,77 ,999,\pic\KH001
KH175,mac607口红,,化妆品,口红,MAC,mac607口红,75,79 ,999,\pic\KH001
KH176,mac圣诞限量套,,化妆品,口红,MAC,mac圣诞限量套,120,126 ,999,\pic\KH001
KH177,mac圣诞限量套,韩免唇线笔口红唇釉,化妆品,口红,MAC,mac圣诞限量套,170,179 ,999,\pic\KH001
KH178,mac圣诞限量口红五件套,,化妆品,口红,MAC,mac圣诞限量口红五件套,475,499 ,999,\pic\KH001
KH179,mac口红232,,化妆品,口红,MAC,mac口红232,44,46 ,999,\pic\KH001
KH180,mac中样mehr口红,,化妆品,口红,MAC,mac中样mehr口红,47,49 ,999,\pic\KH001
KH181,mac圣诞限量口红20支,,化妆品,口红,MAC,mac圣诞限量口红20支,1090,1145 ,999,\pic\KH001
KH182,mac口红studdedkiss,,化妆品,口红,MAC,mac口红studdedkiss,80,84 ,999,\pic\KH001
KH183,mac口红lotuslight新春限定款,,化妆品,口红,MAC,mac口红lotuslight新春限定款,95,100 ,999,\pic\KH001
KH184,mac口红bravered,,化妆品,口红,MAC,mac口红bravered,66,69 ,999,\pic\KH001
KH185,mac口红612russianred,,化妆品,口红,MAC,mac口红612russianred,87,91 ,999,\pic\KH001
KH186,mac口红25周年限定,vivaglami,化妆品,口红,MAC,mac口红25周年限定,49,51 ,999,\pic\KH001
KH187,纪梵希口红三件套,n333 n33 n02,化妆品,口红,Givenchy纪梵希,纪梵希口红三件套,530,557 ,999,\pic\KH001
KH188,纪梵希小粉皮302号,口红22g,化妆品,口红,Givenchy纪梵希,纪梵希小粉皮302号,156,164 ,999,\pic\KH001
KH189,纪梵希小羊皮307口红,,化妆品,口红,Givenchy纪梵希,纪梵希小羊皮307口红,197,207 ,999,\pic\KH001
KH190,纪梵希小羊皮306口红,,化妆品,口红,Givenchy纪梵希,纪梵希小羊皮306口红,228,239 ,999,\pic\KH001
KH191,纪梵希105口红,,化妆品,口红,Givenchy纪梵希,纪梵希105口红,134,141 ,999,\pic\KH001
KH192,纪梵希n36口红,,化妆品,口红,Givenchy纪梵希,纪梵希n36口红,161,169 ,999,\pic\KH001
KH193,纪梵希307口红,韩免,化妆品,口红,Givenchy纪梵希,纪梵希307口红,142,149 ,999,\pic\KH001
KH194,纪梵希n27口红,,化妆品,口红,Givenchy纪梵希,纪梵希n27口红,200,210 ,999,\pic\KH001
KH195,纪梵希口红n37,,化妆品,口红,Givenchy纪梵希,纪梵希口红n37,165,173 ,999,\pic\KH001
KH196,纪梵希口红304,,化妆品,口红,Givenchy纪梵希,纪梵希口红304,160,168 ,999,\pic\KH001
KH197,纪梵希03带闪,2020新款花园限量口红,化妆品,口红,Givenchy纪梵希,纪梵希03带闪,140,147 ,999,\pic\KH001
KH198,纪梵希01带闪,2020新款花园限量口红,化妆品,口红,Givenchy纪梵希,纪梵希01带闪,145,152 ,999,\pic\KH001
KH199,纪梵希小羊皮n37口红唇膏,,化妆品,口红,Givenchy纪梵希,纪梵希小羊皮n37口红唇膏,155,163 ,999,\pic\KH001
KH200,纪梵希小羊皮口红105,,化妆品,口红,Givenchy纪梵希,纪梵希小羊皮口红105,145,152 ,999,\pic\KH001
KH201,纪梵希口红n334,,化妆品,口红,Givenchy纪梵希,纪梵希口红n334,148,155 ,999,\pic\KH001
KH202,纪梵希口红303新日期,,化妆品,口红,Givenchy纪梵希,纪梵希口红303新日期,123,129 ,999,\pic\KH001
KH203,纪梵希口红n26,,化妆品,口红,Givenchy纪梵希,纪梵希口红n26,138,145 ,999,\pic\KH001
KH204,纪梵希mini口红套盒,四个装304/306/307/333,化妆品,口红,Givenchy纪梵希,纪梵希mini口红套盒,345,362 ,999,\pic\KH001
KH205,纪梵希口红23号,特价,化妆品,口红,Givenchy纪梵希,纪梵希口红23号,50,53 ,999,\pic\KH001
KH206,纪梵希口红n18,,化妆品,口红,Givenchy纪梵希,纪梵希口红n18,100,105 ,999,\pic\KH001
KH207,纪梵希口红05,,化妆品,口红,Givenchy纪梵希,纪梵希口红05,70,74 ,999,\pic\KH001
KH208,纪梵希口红n35,,化妆品,口红,Givenchy纪梵希,纪梵希口红n35,209,219 ,999,\pic\KH001
KH209,纪梵希限量7色口红盘特价,,化妆品,口红,Givenchy纪梵希,纪梵希限量7色口红盘特价,199,209 ,999,\pic\KH001
KH210,纪梵希324口红,,化妆品,口红,Givenchy纪梵希,纪梵希324口红,95,100 ,999,\pic\KH001
KH211,纪梵希小羊皮口红216,,化妆品,口红,Givenchy纪梵希,纪梵希小羊皮口红216,135,142 ,999,\pic\KH001
KH212,unny小黑方口红m05玫瑰豆沙,,化妆品,口红,UNNY,unny小黑方口红m05玫瑰豆沙,33,35 ,999,\pic\KH001
KH213,unny小黑方口红m04蔷薇红,,化妆品,口红,UNNY,unny小黑方口红m04蔷薇红,33,35 ,999,\pic\KH001
KH214,unny小黑方口红m03正红色,,化妆品,口红,UNNY,unny小黑方口红m03正红色,33,35 ,999,\pic\KH001
KH215,unny小黑方口红m01牛血色,,化妆品,口红,UNNY,unny小黑方口红m01牛血色,33,35 ,999,\pic\KH001
KH216,nars2920口红,,化妆品,口红,NARS,nars2920口红,85,89 ,999,\pic\KH001
KH217,nars口红限量版5014,,化妆品,口红,NARS,nars口红限量版5014,130,137 ,999,\pic\KH001
KH218,nars口红5048限量版,,化妆品,口红,NARS,nars口红5048限量版,112,118 ,999,\pic\KH001
KH219,nars魔方口红卡萨布兰卡2920,,化妆品,口红,NARS,nars魔方口红卡萨布兰卡2920,80,84 ,999,\pic\KH001
KH220,nars口红9497,,化妆品,口红,NARS,nars口红9497,135,142 ,999,\pic\KH001
KH221,narsmona口红,,化妆品,口红,NARS,narsmona口红,132,139 ,999,\pic\KH001
KH222,nars黑管口红2975,,化妆品,口红,NARS,nars黑管口红2975,140,147 ,999,\pic\KH001
KH223,nars魔方口红2967摩洛哥,,化妆品,口红,NARS,nars魔方口红2967摩洛哥,151,159 ,999,\pic\KH001
KH224,nars魔方口红2964,,化妆品,口红,NARS,nars魔方口红2964,124,130 ,999,\pic\KH001
KH225,nars口红高潮9408,,化妆品,口红,NARS,nars口红高潮9408,95,100 ,999,\pic\KH001
KH226,nars丝绒迷雾哑光唇膏笔口红,damned姨妈色梅子色18g现货,化妆品,口红,NARS,nars丝绒迷雾哑光唇膏笔口红,50,53 ,999,\pic\KH001
KH227,nars口红笔复古红,18g,化妆品,口红,NARS,nars口红笔复古红,46,48 ,999,\pic\KH001
KH228,narsnars新年限量口红5055,,化妆品,口红,NARS,narsnars新年限量口红5055,100,105 ,999,\pic\KH001
KH229,nars2953口红,,化妆品,口红,NARS,nars2953口红,80,84 ,999,\pic\KH001
KH230,narsnars口红2983,,化妆品,口红,NARS,narsnars口红2983,110,116 ,999,\pic\KH001
KH231,nars口红mona2020圣诞版,,化妆品,口红,NARS,nars口红mona2020圣诞版,132,139 ,999,\pic\KH001
KH232,nars烟管口红atnight,,化妆品,口红,NARS,nars烟管口红atnight,117,123 ,999,\pic\KH001
