ID,发布标题,描述,主分类,子分类,三级分类,商品名称,商品进货价,商品出货价,库存数量,图片
KH001,兰蔻雪花四件套,,化妆品,口红,lancom兰蔻,兰蔻雪花四件套,525,562 ,999,\pic\KH001
KH002,兰蔻肌底液圣诞四件套,,化妆品,口红,lancom兰蔻,兰蔻肌底液圣诞四件套,620,651 ,999,\pic\KH001
KH003,兰寇口红196,哑光,化妆品,口红,lancom兰蔻,兰寇口红196,210,221 ,999,\pic\KH001
KH004,兰蔻清纯丝绒柔雾唇膏,505朱砂红1.6g,化妆品,口红,lancom兰蔻,兰蔻清纯丝绒柔雾唇膏,68,71 ,999,\pic\KH001
KH005,兰蔻口红505,黑管哑光,化妆品,口红,lancom兰蔻,兰蔻口红505,190,200 ,999,\pic\KH001
KH006,兰蔻黑管口红525,,化妆品,口红,lancom兰蔻,兰蔻黑管口红525,127,133 ,999,\pic\KH001
KH007,兰蔻525滋润,,化妆品,口红,lancom兰蔻,兰蔻525滋润,120,126 ,999,\pic\KH001
KH008,兰蔻黑管宝石切面02,,化妆品,口红,lancom兰蔻,兰蔻黑管宝石切面02,129,135 ,999,\pic\KH001
KH009,兰蔻黑管02,,化妆品,口红,lancom兰蔻,兰蔻黑管02,148,155 ,999,\pic\KH001
KH010,香奈儿58号,,化妆品,口红,Chanel香奈儿,香奈儿58号,249,261 ,999,\pic\KH001
KH011,香奈儿154,,化妆品,口红,Chanel香奈儿,香奈儿154,213,224 ,999,\pic\KH001
KH012,香奈儿口红63,,化妆品,口红,Chanel香奈儿,香奈儿口红63,220,231 ,999,\pic\KH001
KH013,香奈儿限量口红637,,化妆品,口红,Chanel香奈儿,香奈儿限量口红637,318,334 ,999,\pic\KH001
KH014,香奈儿唇釉154,,化妆品,口红,Chanel香奈儿,香奈儿唇釉154,210,221 ,999,\pic\KH001
KH015,香奈儿607,,化妆品,口红,Chanel香奈儿,香奈儿607,220,231 ,999,\pic\KH001
KH016,香奈儿口红38,,化妆品,口红,Chanel香奈儿,香奈儿口红38,210,221 ,999,\pic\KH001
KH017,香奈儿106 ,,化妆品,口红,Chanel香奈儿,香奈儿106 ,200,210 ,999,\pic\KH001
KH018,香奈儿118,,化妆品,口红,Chanel香奈儿,香奈儿118,300,315 ,999,\pic\KH001
KH019,迪奥夹心口红,999,化妆品,口红,Dior迪奥,迪奥夹心口红,120,126 ,999,\pic\KH001
KH020,迪奥夹心口红707,707,化妆品,口红,Dior迪奥,迪奥夹心口红707,160,168 ,999,\pic\KH001
KH021,迪奥夹心口红635,635,化妆品,口红,Dior迪奥,迪奥夹心口红635,134,141 ,999,\pic\KH001
KH022,迪奥001,1,化妆品,口红,Dior迪奥,迪奥001,130,137 ,999,\pic\KH001
KH023,迪奥004,4,化妆品,口红,Dior迪奥,迪奥004,141,148 ,999,\pic\KH001
KH024,迪奥套盒,001+004+008,化妆品,口红,Dior迪奥,迪奥套盒,370,389 ,999,\pic\KH001
KH025,迪奥001+004,001+004,化妆品,口红,Dior迪奥,迪奥001+004,142,149 ,999,\pic\KH001
KH026,迪奥红管641,,化妆品,口红,Dior迪奥,迪奥红管641,142,149 ,999,\pic\KH001
KH027,迪奥红管436,,化妆品,口红,Dior迪奥,迪奥红管436,125,131 ,999,\pic\KH001
KH028,迪奥红管999,,化妆品,口红,Dior迪奥,迪奥红管999,136,143 ,999,\pic\KH001
KH029,迪奥红管999夹心原箱,,化妆品,口红,Dior迪奥,迪奥红管999夹心原箱,120,126 ,999,\pic\KH001
KH030,迪奥888,,化妆品,口红,Dior迪奥,迪奥888,180,189 ,999,\pic\KH001
KH031,迪奥999,滋润,化妆品,口红,Dior迪奥,迪奥999,168,176 ,999,\pic\KH001
KH032,迪奥999,哑光,化妆品,口红,Dior迪奥,迪奥999,158,166 ,999,\pic\KH001
KH033,迪奥520,哑光,化妆品,口红,Dior迪奥,迪奥520,140,147 ,999,\pic\KH001
KH034,迪奥028,,化妆品,口红,Dior迪奥,迪奥028,141,148 ,999,\pic\KH001
KH035,迪奥烈焰蓝金028少量清仓,,化妆品,口红,Dior迪奥,迪奥烈焰蓝金028少量清仓,135,142 ,999,\pic\KH001
KH036,迪奥080,,化妆品,口红,Dior迪奥,迪奥080,163,171 ,999,\pic\KH001
KH037,迪奥740,,化妆品,口红,Dior迪奥,迪奥740,166,174 ,999,\pic\KH001
KH038,迪奥772,,化妆品,口红,Dior迪奥,迪奥772,227,238 ,999,\pic\KH001
KH039,迪奥新款银管星耀847,,化妆品,口红,Dior迪奥,迪奥新款银管星耀847,146,153 ,999,\pic\KH001
KH040,迪奥新款星星847,,化妆品,口红,Dior迪奥,迪奥新款星星847,205,215 ,999,\pic\KH001
KH041,迪奥847,,化妆品,口红,Dior迪奥,迪奥847,146,153 ,999,\pic\KH001
KH042,YSL水光唇釉610,,化妆品,口红,YSL圣罗兰,YSL水光唇釉610,220,231 ,999,\pic\KH001
KH043,YS水光唇釉612,,化妆品,口红,YSL圣罗兰,YS水光唇釉612,100,105 ,999,\pic\KH001
KH044,YSL水光唇釉613,,化妆品,口红,YSL圣罗兰,YSL水光唇釉613,230,242 ,999,\pic\KH001
KH045,YS水光唇釉617,,化妆品,口红,YSL圣罗兰,YS水光唇釉617,142,149 ,999,\pic\KH001
KH046,YSL水光唇釉618,,化妆品,口红,YSL圣罗兰,YSL水光唇釉618,100,105 ,999,\pic\KH001
KH047,YSL小金条1号,,化妆品,口红,YSL圣罗兰,YSL小金条1号,175,184 ,999,\pic\KH001
KH048,YSL小金条9号,,化妆品,口红,YSL圣罗兰,YSL小金条9号,164,172 ,999,\pic\KH001
KH049,YSL小金条11号,,化妆品,口红,YSL圣罗兰,YSL小金条11号,119,125 ,999,\pic\KH001
KH050,YSL小金条12号,,化妆品,口红,YSL圣罗兰,YSL小金条12号,136,143 ,999,\pic\KH001
KH051,YS小金条18号,,化妆品,口红,YSL圣罗兰,YS小金条18号,143,150 ,999,\pic\KH001
KH052,YSL小金条21号,,化妆品,口红,YSL圣罗兰,YSL小金条21号,162,170 ,999,\pic\KH001
KH053,YSL小金条23号,,化妆品,口红,YSL圣罗兰,YSL小金条23号,163,171 ,999,\pic\KH001
KH054,YSL小金条26号,,化妆品,口红,YSL圣罗兰,YSL小金条26号,230,242 ,999,\pic\KH001
KH055,YSL小金条28号,,化妆品,口红,YSL圣罗兰,YSL小金条28号,195,205 ,999,\pic\KH001
KH056,YSL小金条110鳄鱼纹限量版,,化妆品,口红,YSL圣罗兰,YSL小金条110鳄鱼纹限量版,169,177 ,999,\pic\KH001
KH057,YSL小银条107,,化妆品,口红,YSL圣罗兰,YSL小银条107,142,149 ,999,\pic\KH001
KH058,YSL小金条119鳄鱼,,化妆品,口红,YSL圣罗兰,YSL小金条119鳄鱼,168,176 ,999,\pic\KH001
KH059,YSL圆管12,,化妆品,口红,YSL圣罗兰,YSL圆管12,88,92 ,999,\pic\KH001
KH060,YSL圆管46,,化妆品,口红,YSL圣罗兰,YSL圆管46,87,91 ,999,\pic\KH001
KH061,YSL圆管12星星限量,,化妆品,口红,YSL圣罗兰,YSL圆管12星星限量,96,101 ,999,\pic\KH001
KH062,YSL红唇啵普圆管120,,化妆品,口红,YSL圣罗兰,YSL红唇啵普圆管120,148,155 ,999,\pic\KH001
KH063,YSL圆管106,,化妆品,口红,YSL圣罗兰,YSL圆管106,123,129 ,999,\pic\KH001
KH064,YSL圆管80号,,化妆品,口红,YSL圣罗兰,YSL圆管80号,88,92 ,999,\pic\KH001
KH065,YSL圆管83号,,化妆品,口红,YSL圣罗兰,YSL圆管83号,132,139 ,999,\pic\KH001
KH066,YSL方管1号,,化妆品,口红,YSL圣罗兰,YSL方管1号,123,129 ,999,\pic\KH001
KH067,YSL方管13号,,化妆品,口红,YSL圣罗兰,YSL方管13号,133,140 ,999,\pic\KH001
KH068,YSL方管83号,,化妆品,口红,YSL圣罗兰,YSL方管83号,142,149 ,999,\pic\KH001
KH069,YSL方管52中样,,化妆品,口红,YSL圣罗兰,YSL方管52中样,35,37 ,999,\pic\KH001
KH070,YSL方管三件套,1+13+83,化妆品,口红,YSL圣罗兰,YSL方管三件套,388,407 ,999,\pic\KH001
KH071,YSL唇釉416,,化妆品,口红,YSL圣罗兰,YSL唇釉416,151,159 ,999,\pic\KH001
KH072,YSL唇釉409压盒,,化妆品,口红,YSL圣罗兰,YSL唇釉409压盒,125,131 ,999,\pic\KH001
KH073,YSL唇釉33,,化妆品,口红,YSL圣罗兰,YSL唇釉33,155,163 ,999,\pic\KH001
KH074,YSL唇釉211,,化妆品,口红,YSL圣罗兰,YSL唇釉211,160,168 ,999,\pic\KH001
KH075,YSL唇釉1,,化妆品,口红,YSL圣罗兰,YSL唇釉1,80,84 ,999,\pic\KH001
KH076,YSL唇釉407,,化妆品,口红,YSL圣罗兰,YSL唇釉407,145,152 ,999,\pic\KH001
KH077,YSL唇釉409,,化妆品,口红,YSL圣罗兰,YSL唇釉409,131,138 ,999,\pic\KH001
KH078,YSL唇釉套盒,7号9号12号,化妆品,口红,YSL圣罗兰,YSL唇釉套盒,325,341 ,999,\pic\KH001
KH079,YSL唇釉哑光9号,,化妆品,口红,YSL圣罗兰,YSL唇釉哑光9号,130,137 ,999,\pic\KH001
KH080,YSL唇釉212新色哑光,,化妆品,口红,YSL圣罗兰,YSL唇釉212新色哑光,170,179 ,999,\pic\KH001
KH081,YSL唇釉哑光204,,化妆品,口红,YSL圣罗兰,YSL唇釉哑光204,195,205 ,999,\pic\KH001
KH082,YSL唇釉12号,哑光,化妆品,口红,YSL圣罗兰,YSL唇釉12号,130,137 ,999,\pic\KH001
KH083,YSL唇釉17,哑光,化妆品,口红,YSL圣罗兰,YSL唇釉17,105,110 ,999,\pic\KH001
KH084,娇兰口红n214,,化妆品,口红,Guerlain娇兰,娇兰口红n214,160,168 ,999,\pic\KH001
KH085,娇兰口红壳绿宝石,,化妆品,口红,Guerlain娇兰,娇兰口红壳绿宝石,130,137 ,999,\pic\KH001
KH086,娇兰口红壳蓝宝石,,化妆品,口红,Guerlain娇兰,娇兰口红壳蓝宝石,125,131 ,999,\pic\KH001
KH087,娇兰口红壳黄金壳,,化妆品,口红,Guerlain娇兰,娇兰口红壳黄金壳,190,200 ,999,\pic\KH001
KH088,娇兰口红n80,,化妆品,口红,Guerlain娇兰,娇兰口红n80,160,168 ,999,\pic\KH001
KH089,娇兰口红n59,,化妆品,口红,Guerlain娇兰,娇兰口红n59,160,168 ,999,\pic\KH001
KH090,娇兰口红n29,,化妆品,口红,Guerlain娇兰,娇兰口红n29,230,242 ,999,\pic\KH001
KH091,娇兰口红n27,,化妆品,口红,Guerlain娇兰,娇兰口红n27,230,242 ,999,\pic\KH001
KH092,娇兰口红n25s,,化妆品,口红,Guerlain娇兰,娇兰口红n25s,230,242 ,999,\pic\KH001
KH093,娇兰口红n30,,化妆品,口红,Guerlain娇兰,娇兰口红n30,230,242 ,999,\pic\KH001
KH094,阿玛尼红管400,,化妆品,口红,Armani阿玛尼,阿玛尼红管400,145,152 ,999,\pic\KH001
KH095,阿玛尼红管401,,化妆品,口红,Armani阿玛尼,阿玛尼红管401,147,154 ,999,\pic\KH001
