ID,发布标题,描述,主分类,子分类,三级分类,商品名称,商品单价,库存数量,图片,
XS001,范思哲粉钻粉水晶,30ml,化妆品,香水,范思哲,范思哲粉钻粉水晶,163.00,999,\pic\XS001,
XS002,范思哲粉钻粉水晶,50ml,化妆品,香水,范思哲,范思哲粉钻粉水晶,210.00,999,\pic\XS001,
XS003,范思哲粉钻粉水晶,90ml,化妆品,香水,范思哲,范思哲粉钻粉水晶,265.00,999,\pic\XS001,
XS004,范思哲极致粉水晶,30ml,化妆品,香水,范思哲,范思哲极致粉水晶,185.00,999,\pic\XS001,
XS005,范思哲极致水晶粉钻,50ml,化妆品,香水,范思哲,范思哲极致水晶粉钻,230.00,999,\pic\XS001,
XS006,范思哲黑钻黑水晶,30ml,化妆品,香水,范思哲,范思哲黑钻黑水晶,190.00,999,\pic\XS001,
XS007,范思哲黑钻黑水晶,50ml,化妆品,香水,范思哲,范思哲黑钻黑水晶,225.00,999,\pic\XS001,
XS008,范思哲黄钻黄水晶,90ml,化妆品,香水,范思哲,范思哲黄钻黄水晶,265.00,999,\pic\XS001,
XS009,范思哲黄钻黄水晶,50ml,化妆品,香水,范思哲,范思哲黄钻黄水晶,235.00,999,\pic\XS001,
XS010,范思哲黄钻黄水晶,30ml,化妆品,香水,范思哲,范思哲黄钻黄水晶,190.00,999,\pic\XS001,
XS011,范思哲爱神,30ml,化妆品,香水,范思哲,范思哲爱神,190.00,999,\pic\XS001,
XS012,范思哲爱神,50ml,化妆品,香水,范思哲,范思哲爱神,240.00,999,\pic\XS001,
XS013,范思哲爱神,100ml,化妆品,香水,范思哲,范思哲爱神,280.00,999,\pic\XS001,
XS014,范思哲同名男士香,100ml,化妆品,香水,范思哲,范思哲同名男士香,260.00,999,\pic\XS001,
XS015,范思哲同名男士香,50ml,化妆品,香水,范思哲,范思哲同名男士香,200.00,999,\pic\XS001,
XS016,范思哲同名男士香,30ml,化妆品,香水,范思哲,范思哲同名男士香,143.00,999,\pic\XS001,
XS017,范思哲云淡风轻,30ml,化妆品,香水,范思哲,范思哲云淡风轻,155.00,999,\pic\XS001,
XS018,范思哲炎风轻,50ml,化妆品,香水,范思哲,范思哲炎风轻,180.00,999,\pic\XS001,
XS019,范思哲云淡风轻,100ml,化妆品,香水,范思哲,范思哲云淡风轻,255.00,999,\pic\XS001,
XS020,兰蔻奇迹香水,30ml,化妆品,香水,兰蔻,兰蔻奇迹香，水,173.00,999,\pic\XS001,
XS021,兰蔻奇迹香水,50ml,化妆品,香水,兰蔻,兰蔻奇迹香，水,305.00,999,\pic\XS001,
XS022,兰蔻奇迹香水,100ml,化妆品,香水,兰蔻,兰蔻奇迹香，水,405.00,999,\pic\XS001,
XS023,兰蔻璀璨爱恋,50ml,化妆品,香水,兰蔻,兰蔻璀璨爱恋,325.00,999,\pic\XS001,
XS024,兰蔻午夜玫瑰,50ml,化妆品,香水,兰蔻,兰蔻午夜玫瑰,330.00,999,\pic\XS001,
XS025,安娜苏许愿精灵,30ml,化妆品,香水,安娜苏,安娜苏许愿精灵,110.00,999,\pic\XS001,
XS026,安娜苏许愿精灵,50ml ,化妆品,香水,安娜苏,安娜苏许愿精灵,140.00,999,\pic\XS001,
XS027,欧珑赤霞橘光,30ml,化妆品,香水,欧珑,欧珑赤霞橘光,295.00,999,\pic\XS001,
XS028,欧珑加州盛夏,30ml,化妆品,香水,欧珑,欧珑加州盛夏,295.00,999,\pic\XS001,
