ID,发布标题,描述,主分类,子分类,三级分类,商品名称,商品单价,库存数量,图片,
RBBT001,安耐晒20款粉金,防晒霜60ml面部,化妆品,日本本土美妆,安耐晒,安耐晒20款粉金,145,999,\pic\RBBT001,
RBBT002,安耐晒20款小金瓶,防晒霜60ml面部,化妆品,日本本土美妆,安耐晒,安耐晒20款小金瓶,132,999,\pic\RBBT001,
RBBT003,安耐晒20款脸部金,防晒霜60ml面部,化妆品,日本本土美妆,安耐晒,安耐晒20款脸部金,125,999,\pic\RBBT001,
RBBT004,安耐晒20款脸部白,防晒霜60ml面部,化妆品,日本本土美妆,安耐晒,安耐晒20款脸部白,125,999,\pic\RBBT001,
RBBT005,安耐晒20款儿童蓝色,防晒霜60ml面部,化妆品,日本本土美妆,安耐晒,安耐晒20款儿童蓝色,132,999,\pic\RBBT001,
RBBT006,嘉娜宝2020款-绿, Kanebo嘉娜宝ALLIE 矿物保湿防晒霜 SPF5060g,化妆品,日本本土美妆,嘉娜宝,嘉娜宝2020款-绿,115,999,\pic\RBBT001,
RBBT007,嘉娜宝2020款-红, Kanebo嘉娜宝ALLIE 矿物保湿防晒霜 SPF5060g,化妆品,日本本土美妆,嘉娜宝,嘉娜宝2020款-红,112,999,\pic\RBBT001,
RBBT008,嘉娜宝2020款-樱花, Kanebo嘉娜宝ALLIE 矿物保湿防晒霜 SPF5060g,化妆品,日本本土美妆,嘉娜宝,嘉娜宝2020款-樱花,108,999,\pic\RBBT001,
RBBT009,怡丽丝尔优越1号水乳,资生堂怡丽丝尔凝光漾采水油平衡水乳套装平衡水168平衡乳138,化妆品,日本本土美妆,怡丽丝尔,怡丽丝尔优越1号水乳,340,999,\pic\RBBT001,
RBBT010,怡丽丝尔优越2号,资生堂怡丽丝尔凝光漾采水油平衡水乳套装平衡水168平衡乳138,化妆品,日本本土美妆,怡丽丝尔,怡丽丝尔优越2号,345,999,\pic\RBBT001,
RBBT011,怡丽丝尔平衡1号水乳,资生堂怡丽丝尔凝光漾采水油平衡水乳套装平衡水168平衡乳138,化妆品,日本本土美妆,怡丽丝尔,怡丽丝尔平衡1号水乳,298,999,\pic\RBBT001,
RBBT012,怡丽丝尔平衡2号   ,资生堂怡丽丝尔凝光漾采水油平衡水乳套装平衡水168平衡乳138,化妆品,日本本土美妆,怡丽丝尔,怡丽丝尔平衡2号   ,290,999,\pic\RBBT001,
RBBT013,怡丽丝尔美白1号水乳,资生堂怡丽丝尔凝光漾采水油平衡水乳套装平衡水168平衡乳138,化妆品,日本本土美妆,怡丽丝尔,怡丽丝尔美白1号水乳,400,999,\pic\RBBT001,
RBBT014,怡丽丝尔美白2号,资生堂怡丽丝尔凝光漾采水油平衡水乳套装平衡水168平衡乳138,化妆品,日本本土美妆,怡丽丝尔,怡丽丝尔美白2号,415,999,\pic\RBBT001,
RBBT015,怡丽丝尔金色睡眠面膜,美白补水保湿紧致夜间金色105g,化妆品,日本本土美妆,怡丽丝尔,怡丽丝尔金色睡眠面膜,160,999,\pic\RBBT001,
RBBT016,怡丽丝尔金色面霜,美白补水保湿紧致夜间金色105g,化妆品,日本本土美妆,怡丽丝尔,怡丽丝尔金色面霜,260,999,\pic\RBBT001,
RBBT017,怡丽丝尔美白睡眠面膜,美白补水保湿105g,化妆品,日本本土美妆,怡丽丝尔,怡丽丝尔美白睡眠面膜,170,999,\pic\RBBT001,
RBBT018,怡丽丝尔大眼霜,日本本土怡丽丝尔紧致抗皱大眼霜22g,化妆品,日本本土美妆,怡丽丝尔,怡丽丝尔大眼霜,392,999,\pic\RBBT001,
RBBT019,怡丽丝尔小眼霜,日本本土资生堂怡丽丝尔抗皱精华眼霜15g,化妆品,日本本土美妆,怡丽丝尔,怡丽丝尔小眼霜,275,999,\pic\RBBT001,
RBBT020,怡丽丝尔cb防晒,怡丽丝尔 CB防晒隔离乳SPF50++浓密胶原30g,化妆品,日本本土美妆,怡丽丝尔,怡丽丝尔cb防晒,110,999,\pic\RBBT001,
RBBT021,怡丽丝尔金管防晒,优悦活颜防护精华乳SPF30/PA+++35g 35ml,化妆品,日本本土美妆,怡丽丝尔,怡丽丝尔金管防晒,155,999,\pic\RBBT001,
RBBT022,怡丽丝尔银管防晒,优悦活颜防护精华乳SPF30/PA+++35g 35ml,化妆品,日本本土美妆,怡丽丝尔,怡丽丝尔银管防晒,175,999,\pic\RBBT001,
RBBT023,haba大白油,HABA鲨烷精纯美容油30ml,化妆品,日本本土美妆,haba,haba大白油,137,999,\pic\RBBT001,
RBBT024,haba小白油,HABA小白油15ml角鲨烷精油锁水保湿精华修复,化妆品,日本本土美妆,haba,haba小白油,85,999,\pic\RBBT001,
RBBT025,haba薏人丸,HABA无添加 美白薏仁丸薏米精华美肌片450粒,化妆品,日本本土美妆,haba,haba薏人丸,365,999,\pic\RBBT001,
RBBT026,haba小g露,露润泽柔肤水化妆保湿补水180ml,化妆品,日本本土美妆,haba,haba小g露,115,999,\pic\RBBT001,
RBBT027,haba洁面,HABA洗面奶日本鲨烷保湿洁面乳100g,化妆品,日本本土美妆,haba,haba洁面,115,999,\pic\RBBT001,
RBBT028,sk神仙水,sk2神仙水护肤精华露肌底液毛孔补水保湿收缩230ml,化妆品,日本本土美妆,SKⅡ,sk神仙水,745,999,\pic\RBBT001,
RBBT029,sk小灯泡精华,K2小灯泡精华液50ml新版肌因光蕴环采钻白精华露50ml,化妆品,日本本土美妆,SKⅡ,sk小灯泡精华50ml,985,999,\pic\RBBT001,
RBBT030,sk大红滋润面霜,大红瓶 面部护肤精华霜面霜80g老款,化妆品,日本本土美妆,SKⅡ,sk大红滋润面霜80g老款,780,999,\pic\RBBT001,
RBBT031,sk大红清爽面霜,大红瓶 面部护肤精华霜面霜80g老款,化妆品,日本本土美妆,SKⅡ,sk大红清爽面霜80g老款,780,999,\pic\RBBT001,
RBBT032,sk大红滋润面霜,大红瓶 面部护肤精华霜面霜80g新款（磨砂瓶）,化妆品,日本本土美妆,SKⅡ,sk大红滋润面霜80g新款,900,999,\pic\RBBT001,
RBBT033,sk大红清爽面霜,大红瓶 面部护肤精华霜面霜80g新款（磨砂瓶）,化妆品,日本本土美妆,SKⅡ,sk大红清爽面霜80g新款,900,999,\pic\RBBT001,
RBBT034,sk神仙水奥运套盒,老款,化妆品,日本本土美妆,SKⅡ,sk神仙水奥运套盒老款,905,999,\pic\RBBT001,
RBBT035,sk神仙水奥运套盒,新款,化妆品,日本本土美妆,SKⅡ,sk神仙水奥运套盒新款,910,999,\pic\RBBT001,
RBBT036,sk大红面霜套盒,本土版 SKII SK2新版磨砂大红瓶面霜80g套盒多元面霜肌源赋活修复,化妆品,日本本土美妆,SKⅡ,sk大红面霜套盒,1045,999,\pic\RBBT001,
RBBT037,sk小鸟盒,sk2神仙水30ml 面霜15g 眼霜2.5g中样（内瓶神仙水）,化妆品,日本本土美妆,SKⅡ,sk小鸟盒（内瓶神仙水）,235,999,\pic\RBBT001,
RBBT038,sk洁面,SK-II舒透洁面霜洗面奶 补水温和深层清洁 120g,化妆品,日本本土美妆,SKⅡ,sk洁面,265,999,\pic\RBBT001,
RBBT039,sk小银瓶,SK-II 小银瓶面部精华露50ML肌因光蕴美白提亮祛斑淡痘印,化妆品,日本本土美妆,SKⅡ,sk小银瓶,760,999,\pic\RBBT001,
RBBT040,sk小红瓶,SK-II/SK2微肌因肌源赋活修护精华露50ml 紧致RNA小红瓶,化妆品,日本本土美妆,SKⅡ,sk小红瓶,710,999,\pic\RBBT001,
RBBT041,sk前男友面膜,10片/盒,化妆品,日本本土美妆,SKⅡ,sk前男友面膜10片,510,999,\pic\RBBT001,
RBBT042,pola黑ba水乳,POLA/宝丽 黑BA赋颜晨光乳液滋润抗老抗糖化 80ml去黄提亮紧致,化妆品,日本本土美妆,pola,pola黑ba水乳,1790,999,\pic\RBBT001,
RBBT043,pola美白水乳,POLA/宝丽炫白化妆水乳套装美白淡斑祛黄提亮150ml,化妆品,日本本土美妆,pola,pola美白水乳,920,999,\pic\RBBT001,
RBBT044,pola美白面霜,POLA宝丽White Shot RXS 美白淡斑面霜 50g  淡斑痘印 ,化妆品,日本本土美妆,pola,pola美白面霜,535,999,\pic\RBBT001,
